CHUNK_INDEX | TEXT_EN | TEXT_VI | ZALO_AUDIO_URL | GLOBAL_START_END
0 | Let's take a look at some of the basic ideas, starting with Black's most principled response, | Chúng ta hãy xem xét một số ý tưởng cơ bản, bắt đầu với phản ứng mang tính nguyên tắc nhất của Đen, | https://s9-zstorage.zdn.vn/a418825a2305ca5b9314/0bf5d366870e459db6e4165fccadf949.mp3?authen=exp=1782994565~hmac=e21763d9dd13fdfa9069bcc81654277a | 40.86-45.58
0 | E5. | anh trai. | https://s9-zstorage.zdn.vn/667f4f3dee62073c5e73/6bffeaaef8c646dba8a7493ff7630741.mp3?authen=exp=1782994566~hmac=b0ea0c599f214623424d6f788ae349f0 | 45.58-47.3
0 | Occupying the center, creating a mirror image of the razor-sharp Sicilian defense if | Chiếm trung tâm, tạo ra hình ảnh phản chiếu của hàng phòng ngự sắc bén của Sicily nếu | https://s9-zstorage.zdn.vn/d7a0ffe25ebdb7e3eeac/a3a95a257b08492888372b0eda7dba66.mp3?authen=exp=1782994567~hmac=b3b792ab184eecd129f1012a20c791aa | 47.3-51.14
0 | White opens the game with E4 and Black replies with C5. | Trắng mở đầu ván đấu bằng E4 và Đen trả lời bằng C5. | https://s9-zstorage.zdn.vn/8174d13670699937c078/09d3fba3b1ea4e39964f2228e49479c2.mp3?authen=exp=1782994567~hmac=285fb1a00e6b6fa42842ebc8464fd4f0 | 51.14-55.900000000000006
0 | In this way, White can be said to be playing a Sicilian defense up a tempo, although this | Bằng cách này, có thể nói rằng Trắng đang chơi một lối phòng thủ Sicilia với nhịp độ nhanh hơn, mặc dù điều này | https://s9-zstorage.zdn.vn/08635b21fa7e13204a6f/9df8148db786483c83b33b4bb43ba2d4.mp3?authen=exp=1782994568~hmac=809a596edd1575325db196f445865003 | 55.9-60.5
0 | may suggest the play will become quite sharp, which is possible. | có thể gợi ý rằng vở kịch sẽ trở nên khá sắc nét, điều đó là có thể. | https://s9-zstorage.zdn.vn/e647b405155afc04a54b/ac98fa72bd424ff689514cf52a7740ea.mp3?authen=exp=1782994569~hmac=198cbbabb921b116124ac5ef07f6d5f8 | 60.5-64.25999999999999
0 | White can also use this extra tempo to steer the game toward more positional waters typical | Trắng cũng có thể sử dụng nhịp độ tăng thêm này để điều khiển trận đấu theo hướng có vị trí điển hình hơn. | https://s9-zstorage.zdn.vn/b50be0494116a848f107/c5deeeffae484bd6addb8f7c516ba405.mp3?authen=exp=1782994570~hmac=45c3640136d50b9bee4be92e082bf0d4 | 64.25999999999999-68.58
0 | of the English opening. | phần mở đầu bằng tiếng Anh. | https://s9-zstorage.zdn.vn/f0cab78816d7ff89a6c6/75f0164e453e4d09ab40f2313ab7eb31.mp3?authen=exp=1782994571~hmac=a41b74e632c30f08be0cdbe18ece19d4 | 68.58-70.62
0 | Increasing control over the central light-squares with Knight C3 is a popular option. | Tăng cường kiểm soát các ô ánh sáng trung tâm với Knight C3 là một lựa chọn phổ biến. | https://s9-zstorage.zdn.vn/ddc1948335dcdc8285cd/011f7cac315541e38c89ce551e529286.mp3?authen=exp=1782994572~hmac=ea45815008b03860fe0e1ad914932898 | 70.62-74.98
0 | And White may also prepare to develop the light-squared bishop with G3, preparing | Và Trắng cũng có thể chuẩn bị phát triển quân tượng bình phương ánh sáng với G3, chuẩn bị | https://s9-zstorage.zdn.vn/763e3c7c9d23747d2d32/86e89af94d0f481a9d160e6c0b8b0c53.mp3?authen=exp=1782994573~hmac=819b92dc7c70b99190f015328bd271e7 | 74.98-79.38
0 | to meet the natural Knight F6, with Bishop G2. | để gặp Hiệp sĩ tự nhiên F6, với Bishop G2. | https://s9-zstorage.zdn.vn/7c8131c3909c79c2208d/896478d5c8b8469892be6cbfad9ec45b.mp3?authen=exp=1782994573~hmac=0d4f74a0b1a3d3cf69d8a78c276a6b08 | 79.38-83.7
0 | White's light-squared bishop is an important piece in the English, supporting both the center, | Tượng hình vuông sáng của White là một quân cờ quan trọng trong tiếng Anh, hỗ trợ cả trung tâm, | https://s9-zstorage.zdn.vn/53041f46be1957470e08/c7258f95cd1f4c8aa2d774b9deba7045.mp3?authen=exp=1782994574~hmac=fe872b0ba09e1a8354c887e1678a4254 | 83.74000000000001-87.98
0 | as well as adding pressure against Black's queen side. | cũng như tạo thêm áp lực đối với phe hậu của Đen. | https://s9-zstorage.zdn.vn/ba5af5185447bd19e456/a1e2730b29fe4c02b92984b36a5612f6.mp3?authen=exp=1782994575~hmac=61b194cf32bab5894e0741767a174b82 | 87.98-91.18
0 | We reach a critical moment in the English, Black must decide how to handle the central | Chúng ta đến một thời điểm quan trọng trong tiếng Anh, Đen phải quyết định cách xử lý vấn đề trung tâm | https://s9-zstorage.zdn.vn/6fa521e780b869e630a9/0761b4a8c3724e8aac743b92feea4c63.mp3?authen=exp=1782994576~hmac=53f5bde7d11c589cfab134f1c58aece0 | 91.18-95.18
0 | struggle based upon the D-pond. | cuộc đấu tranh dựa trên D-ao. | https://s9-zstorage.zdn.vn/689819dab88551db0894/dcd6bcb253ef4a4596431935f65c67ff.mp3?authen=exp=1782994576~hmac=c6cda3716c2d4ac0cbfb10e55ec69553 | 95.18-97.58
0 | Striking in the center with D5 creates a reversed open Sicilian type of position, which | Tấn công vào giữa bằng D5 tạo ra một kiểu vị trí Sicilia mở đảo ngược, | https://s9-zstorage.zdn.vn/f17581372068c9369079/5b4df2af33164c42b5a7a996c04c52a9.mp3?authen=exp=1782994577~hmac=37a2cf9f1a241f918df139099810f444 | 97.58-102.26
0 | we'll later examine. | sau này chúng ta sẽ kiểm tra. | https://s9-zstorage.zdn.vn/928ae4c84597acc9f586/92e06d061b88430a886647cfd8bcf018.mp3?authen=exp=1782994578~hmac=831849b6e843eb3161002bc8159ca368 | 102.26-103.86
0 | The D-pond may also be used to support the center by playing a future D6. | D-pond cũng có thể được sử dụng để hỗ trợ trung tâm bằng cách chơi D6 trong tương lai. | N/A | 103.86-108.66
0 | One typical plan is to develop the other Knight with Knight C6. | Một kế hoạch điển hình là phát triển Hiệp sĩ khác với Hiệp sĩ C6. | N/A | 108.66-112.62
0 | Strategy to control the central light-squares continues with Knight C3. | Chiến lược kiểm soát các ô ánh sáng trung tâm tiếp tục với Knight C3. | N/A | 112.66000000000001-117.02000000000001
0 | Joining the C4-pond and light-squared bishop and adding a third defender of the D5-square. | Tham gia vào ao C4 và tượng hình vuông nhẹ và thêm người bảo vệ thứ ba của hình vuông D5. | N/A | 117.02000000000001-122.54
0 | Black's dark-squared bishop has two important squares to consider. | Quân tượng hình vuông tối của quân Đen có hai ô vuông quan trọng cần xem xét. | N/A | 122.54-125.94
0 | Bishop B4 adds pressure against White's knight on C3, when White has to decide whether | Tượng B4 gây thêm áp lực lên hiệp sĩ của Trắng ở C3, khi Trắng phải quyết định liệu | N/A | 125.94-130.9
0 | to allow Bishop takes C3, gaining the Bishop pair, but accepting a slightly compromised | cho phép Bishop lấy C3, giành được cặp Bishop, nhưng chấp nhận một chút thỏa hiệp | N/A | 130.9-135.9
0 | pawn structure in the process. | cấu trúc cầm đồ trong quá trình này. | https://s9-zstorage.zdn.vn/91c6e88449dba085f9ca/40d372abb0c94f18b41b64668feda686.mp3?authen=exp=1782994579~hmac=8b73490403a87a01e60ea8b9b72c9001 | 135.9-138.06
0 | In this case, White may continue with Knight F3, simply continuing to develop while | Trong trường hợp này, Trắng có thể tiếp tục với Hiệp sĩ F3, chỉ đơn giản là tiếp tục phát triển trong khi | N/A | 138.06-142.3
0 | fighting for central control. | đấu tranh giành quyền kiểm soát trung ương. | N/A | 142.34-144.46
0 | On the other hand, the Knight may leap into the center with Knight D5, confronting | Mặt khác, Hiệp sĩ có thể nhảy vào trung tâm với Hiệp sĩ D5, đối đầu với | N/A | 144.46-148.66000000000003
0 | Black's dark-squared bishop. | Tượng hình vuông tối của màu đen. | N/A | 148.66000000000003-150.66000000000003
0 | In this case, Black may respond with Bishop C5, increasing pressure against | Trong trường hợp này, Đen có thể đáp trả bằng Tượng C5, gia tăng áp lực chống lại | N/A | 150.66000000000003-154.82000000000002
0 | White's king-side, leading to a complex positional struggle. | Bên vua Trắng, dẫn đến một cuộc tranh giành vị trí phức tạp. | N/A | 154.82000000000002-160.38000000000002
0 | Bishop B4 is a popular choice to examine, and Black may also consider the | Bishop B4 là một lựa chọn phổ biến để xem xét, và Đen cũng có thể xem xét | N/A | 160.38000000000002-164.46
0 | straightforward Bishop C5. | Giám mục thẳng thắn C5. | N/A | 164.46-167.42000000000002
0 | Adding pressure against White's king-side while preparing king-side | Tạo thêm áp lực lên phe vua Trắng trong khi chuẩn bị phe vua | N/A | 167.42000000000002-170.38000000000002
0 | castling. | nhập thành. | N/A | 170.42-171.42
0 | White's knight on G1 has two important paths to consider in order to enter the | Quân trắng ở G1 có hai con đường quan trọng cần cân nhắc để vào ván | N/A | 171.42-175.29999999999998
0 | game. | trò chơi. | N/A | 175.29999999999998-176.29999999999998
0 | Playing E3, followed by Knight G2 to E2 is an interesting idea we'll later | Chơi E3, tiếp theo là Knight G2 đến E2 là một ý tưởng thú vị chúng ta sẽ làm sau | N/A | 176.29999999999998-180.38
0 | examine, preparing to strike in the center with D4. | kiểm tra, chuẩn bị tấn công vào trung tâm bằng D4. | N/A | 180.38-184.29999999999998
0 | The most direct path is to play Knight F3. | Con đường trực tiếp nhất là chơi Knight F3. | N/A | 184.29999999999998-187.57999999999998
0 | Adding pressure against the E5-pond while preparing to castle. | Tạo thêm áp lực lên ao E5 trong khi chuẩn bị nhập thành. | N/A | 187.57999999999998-191.42
0 | Black should not be too eager to lunge the pawn forward with E4, as this is | Đen không nên quá háo hức lao quân tốt về phía trước với E4, vì đây là | N/A | 191.42-195.18
0 | well met by Knight G5, attacking the E4-pond, in revealing the light-squared | được đáp ứng tốt bởi Knight G5, tấn công ao E4, để lộ ánh sáng bình phương | N/A | 195.18-199.98
0 | bishop as a third attacker against this overly zealous pawn. | Bishop là kẻ tấn công thứ ba chống lại con tốt quá nhiệt tình này. | N/A | 199.98000000000002-203.34000000000003
0 | Black is unable to maintain this premature claim of central space. | Đen không thể duy trì được yêu cầu sớm này về không gian trung tâm. | N/A | 203.34000000000003-207.74
0 | Instead of advancing the E-pond, Black can build a solid pawn chain with D6, | Thay vì tiến lên Ao E, Đen có thể xây dựng một chuỗi chốt vững chắc với D6, | N/A | 207.74-212.94000000000003
0 | supporting the E5-pond while liberating the light-squared bishop. | hỗ trợ ao E5 đồng thời giải phóng giám mục bình phương ánh sáng. | N/A | 212.94000000000003-217.10000000000002
0 | A common continuation is for both sides to castle. | Một sự tiếp tục chung là cho cả hai bên đến lâu đài. | N/A | 217.10000000000002-221.66000000000003
0 | When White defines the typical pawn structure with D3, | Khi Trắng xác định cấu trúc tốt điển hình với D3, | N/A | 221.66000000000003-225.50000000000003
0 | the pawn chains serve as a compass to help orient the direction of play. | các chuỗi cầm đồ đóng vai trò như một chiếc la bàn giúp định hướng lối chơi. | N/A | 225.50000000000003-229.26000000000002
0 | White's pawn chain from E2 to C4 points toward the queen side. | Chuỗi chốt của Trắng từ E2 đến C4 hướng về phía hậu. | N/A | 229.26-233.17999999999998
0 | Coupled with White's light-squared bishop pointing in that direction, | Cùng với quân tượng bình phương ánh sáng của White chỉ về hướng đó, | N/A | 233.17999999999998-236.38
0 | White will typically plan to expand on that side of the board with A3 | Trắng thường có kế hoạch mở rộng ở phía đó của bàn cờ bằng A3 | N/A | 236.38-240.22
0 | and B4. Black's pawn chain from C7 to E5 points toward the king side, | và B4. Chuỗi chốt của Đen từ C7 đến E5 hướng về phía vua, | N/A | 240.22-245.82
0 | so coupled with Black's bishop's pointing in that direction, | kết hợp với việc tượng của Black chỉ về hướng đó, | N/A | 245.82-248.54
0 | this may prove to be a desirable area of the board to play. | đây có thể là một khu vực đáng mơ ước trên bàn cờ để chơi. | N/A | 248.54-251.82
0 | Of course, this is only a useful guideline and should not serve as an | Tất nhiên, đây chỉ là một hướng dẫn hữu ích và không nên dùng làm hướng dẫn | N/A | 251.82-255.42
0 | absolute direction of play. Grandmaster Michael Adams | hướng chơi tuyệt đối. Đại kiện tướng Michael Adams | N/A | 255.42-258.7
0 | played the typical A6, supporting the B5-square while extending the dark-squared diagonal for | chơi A6 điển hình, hỗ trợ hình vuông B5 trong khi mở rộng đường chéo hình vuông tối cho | N/A | 258.7-264.46
0 | Black's bishop, creating an important escape-square on A7 if necessary. | Tượng của Đen, tạo ra một ô thoát hiểm quan trọng trên A7 nếu cần thiết. | N/A | 264.46-268.7
0 | His opponent, Grandmaster Magnus Carlson, continued with the typical English strategy | Đối thủ của ông, Đại kiện tướng Magnus Carlson, tiếp tục với chiến thuật điển hình của người Anh. | N/A | 269.42-274.06
0 | of queenside expansion with A3. Anticipating B4, Black decided to | mở rộng phía nữ hoàng với A3. Đoán trước B4, Đen quyết định đánh | N/A | 274.06-279.5
0 | tuck his bishop away on A7. It's important for White not to forget | nhét tượng của mình đi trên A7. Điều quan trọng là Trắng không được quên | N/A | 279.5-283.65999999999997
0 | that this bishop still exerts important influence against the king side. | rằng vị giám mục này vẫn có ảnh hưởng quan trọng đối với phe nhà vua. | N/A | 283.65999999999997-287.09999999999997
0 | White expanded on the queenside with B4, when Black centralized his bishop with bishop E6. | Trắng mở rộng bên cánh hậu với B4, khi Đen tập trung quân của mình với quân E6. | N/A | 287.66-293.66
0 | Contemplating the D5 pawn break would prove unwise if White is able to respond with Ng5. | Dự tính việc bẻ chốt D5 sẽ tỏ ra không khôn ngoan nếu Trắng có thể đáp trả bằng Ng5. | N/A | 294.46000000000004-299.66
1 | attacking the bishop while revealing the light-squared bishop's pressure against the d5 pawn. | tấn công quân tượng đồng thời bộc lộ áp lực của quân cờ bình phương ánh sáng đối với con tốt d5. | N/A | 300.0-304.4
1 | On the other hand, black may have no immediate intention of playing d5 and may be prepared | Mặt khác, quân đen có thể không có ý định chơi d5 ngay lập tức và có thể đã chuẩn bị sẵn sàng. | N/A | 305.2-310.16
1 | to play queen d7, centralizing the queen, also creating a queen bishop battery pointing toward | để chơi quân hậu d7, tập trung quân hậu, đồng thời tạo ra một pin quân hậu hướng về phía | N/A | 310.16-315.84
1 | white's king side. Bishop b2 is one sensible choice, and grandmaster Carlson decided to play | bên vua trắng. Bishop b2 là một lựa chọn hợp lý và kiện tướng Carlson đã quyết định chơi | N/A | 315.84-322.16
1 | knight d2, revealing the light-squared bishop's pressure down the long diagonal. | hiệp sĩ d2, để lộ áp lực của quân tượng bình phương ánh sáng dọc theo đường chéo dài. | N/A | 322.16-326.88
1 | Now that white's knight is no longer able to meet d5 with knight g5, | Bây giờ hiệp sĩ trắng đó không còn gặp được d5 với hiệp sĩ g5 nữa, | N/A | 327.44-331.76
1 | d5 is an interesting pawn break to explore. White was not afraid of this option, | d5 là một điểm cầm đồ thú vị để khám phá. Trắng không sợ lựa chọn này, | N/A | 331.76-336.4
1 | as c takes d5 opens up the c-file, which may later be utilized by a rook, and it also prepares the | khi c lấy d5 sẽ mở tệp c, tệp này sau này có thể được quân xe sử dụng và nó cũng chuẩn bị | N/A | 336.4-342.72
1 | possible option of knight c4, adding pressure against black's central e5 pawn. It's also possible to | tùy chọn khả thi là hiệp sĩ c4, tạo thêm áp lực lên con tốt trung tâm e5 của quân đen. Cũng có thể | N/A | 342.72-349.36
1 | prepare the d5 pawn break with knight e7, with c6, and d5 to follow. Playing knight e7 immediately | chuẩn bị cuộc bẻ chốt d5 với hiệp sĩ e7, với c6 và d5 theo sau. Chơi ngay hiệp sĩ e7 | N/A | 349.36-356.96
1 | would hang the b7 pawn, so grandmaster Adams supported it with rook b8. The rook is pleased | sẽ treo con tốt b7, vì vậy đại kiện tướng Adams đã ủng hộ nó bằng quân b8. Xe hài lòng | N/A | 356.96-363.28
1 | to vacate the long diagonal, avoiding the dangerous glare of the light-squared bishop. | để trống đường chéo dài, tránh ánh sáng chói nguy hiểm của đèn vuông hình vuông. | N/A | 363.28-367.68
1 | The game continued with rook b1, supporting a possible b5 pawn break when black continued | Ván cờ tiếp tục với quân xe b1, hỗ trợ khả năng bẻ chốt b5 khi quân đen tiếp tục | N/A | 368.24-374.48
1 | with knight e7. Now that the knight is no longer under attack by white's light-squared bishop, | với hiệp sĩ e7. Bây giờ hiệp sĩ không còn bị tấn công bởi quân tượng bình phương ánh sáng của màu trắng nữa, | N/A | 374.56-379.84000000000003
1 | preventing white from comfortably advancing on the queen's side with b5 is suddenly in the air, | ngăn chặn quân trắng thoải mái tiến về phía quân hậu với b5 bất ngờ xuất hiện, | N/A | 379.84000000000003-384.4
1 | so white prevented this while grabbing more space on the queen's side with a4. | vì vậy màu trắng đã ngăn chặn điều này trong khi giành được nhiều không gian hơn về phía quân hậu bằng a4. | N/A | 385.04-388.88
1 | c6 is one reasonable choice when white will likely increase the queen's side tension with b5. | c6 là một lựa chọn hợp lý khi quân trắng có thể sẽ làm tăng sức căng của quân hậu với b5. | N/A | 389.6-394.72
1 | Grandmaster Adams decided to focus on development with queen d7. | Grandmaster Adams quyết định tập trung phát triển với nữ hoàng d7. | N/A | 395.44-399.12
1 | We reach a critical moment in the game. Many English players understandably prefer to | Chúng tôi đạt đến một thời điểm quan trọng trong trò chơi. Có thể hiểu được nhiều người chơi Anh thích | N/A | 399.68-404.08000000000004
1 | keep their strong light-squared bishop on the board, exerting important pressure down the | giữ quân tượng bình phương ánh sáng mạnh mẽ của họ trên bàn cờ, gây áp lực quan trọng xuống | N/A | 404.08-408.08
1 | long diagonal. That being said, it's important to not become overly attached to this piece, | đường chéo dài. Nói như vậy, điều quan trọng là không quá gắn bó với tác phẩm này, | N/A | 408.08-413.44
1 | because if white plays rook e1, preparing to meet bishop h3, attempting to trade | vì nếu trắng chơi xe e1, chuẩn bị gặp tượng h3, định đổi quân | N/A | 413.44-419.28
1 | bishops with bishop h1. White can actually land into trouble quickly after knight g4. | giám mục với giám mục h1. Trắng thực sự có thể gặp rắc rối nhanh chóng sau hiệp sĩ g4. | N/A | 419.28-425.03999999999996
1 | White is suddenly reminded that black's dark-squared bishop is alive and well on a7, | Trắng đột nhiên được nhắc nhở rằng quân tượng hình vuông tối của đen vẫn còn sống khỏe mạnh trên a7, | N/A | 425.84000000000003-430.4
1 | threatening the f2 pawn. If white tries to block this diagonal with e3, | đe dọa con tốt f2. Nếu quân trắng cố gắng chặn đường chéo này bằng e3, | N/A | 430.4-435.44
1 | then black's king-side initiative comes to life after f5, threatening to blast open the f-file | sau đó sáng kiến ​​của phe vua đen trở nên sống động sau f5, đe dọa sẽ mở f-file | N/A | 436.15999999999997-441.76
1 | with f4 when white is under serious pressure. In this case, preserving the light-squared bishop | với f4 khi màu trắng chịu áp lực nghiêm trọng. Trong trường hợp này, giữ nguyên tượng bình phương ánh sáng | N/A | 441.76-446.96000000000004
1 | is definitely not worth the problems on the king-side. Grandmaster Carlson was not afraid | chắc chắn không đáng để gặp rắc rối về phía nhà vua. Đại kiện tướng Carlson không hề sợ hãi | N/A | 446.96000000000004-451.92
1 | to allow black to spend time in order to exchange light-squared bishops, so he continued | để cho phép màu đen dành thời gian để trao đổi các quân tượng bình phương nhẹ, vì vậy anh ta tiếp tục | N/A | 451.92-456.48
1 | with b5, invading black's territory while also clearing the path for white's dark-squared bishop | với b5, xâm chiếm lãnh thổ của quân đen đồng thời dọn đường cho quân tượng hình vuông tối của quân trắng | N/A | 456.48-462.32
1 | to enter the game. We see these ideas in action after bishop h3, in bishop a3. White enjoys a | để vào trò chơi. Chúng ta thấy những ý tưởng này được thực hiện sau Bishop h3, trong Bishop a3. Trắng thích một | N/A | 462.32-469.67999999999995
1 | space advantage on the queen-side, although black's idea to exchange light-squared bishops | lợi thế về không gian ở phía quân hậu, mặc dù ý tưởng của người da đen là trao đổi các quân cờ bình phương nhẹ | N/A | 469.67999999999995-474.08
1 | takes some of the sting out of this pressure. Black's position is quite solid, | giảm bớt phần nào áp lực này. Vị trí của quân đen khá vững chắc, | N/A | 474.08-478.48
1 | as the central stronghold on e5 remains secure. Knight f3 is a popular, | vì thành trì trung tâm trên e5 vẫn được đảm bảo an toàn. Hiệp sĩ f3 là một phổ biến, | N/A | 478.48-484.4
1 | straightforward way for the king-side knight to enter the game. A more subtle approach is to | cách đơn giản để hiệp sĩ bên vua tham gia trò chơi. Một cách tiếp cận tinh tế hơn là | N/A | 484.4-488.72
1 | first play a3, which certainly seems like a strange way to help develop the knight on g1. | đầu tiên hãy chơi a3, đây chắc chắn có vẻ là một cách kỳ lạ để giúp phát triển hiệp sĩ trên g1. | N/A | 488.72-494.08000000000004
1 | The idea is to play e3, followed by knight g2 to e2. In order to better understand why a3 | Ý tưởng là chơi e3, tiếp theo là hiệp sĩ g2 đến e2. Để hiểu rõ hơn tại sao a3 | N/A | 494.08000000000004-500.15999999999997
1 | is an interesting option to explore, let's first take a look at the more direct approach e3. | là một lựa chọn thú vị để khám phá, trước tiên chúng ta hãy xem cách tiếp cận trực tiếp hơn e3. | N/A | 500.15999999999997-504.8
1 | This is a nearly universal setup white can employ in most variations of the English, | Đây là cách thiết lập gần như phổ biến mà người da trắng có thể sử dụng trong hầu hết các biến thể của tiếng Anh, | N/A | 505.44-509.6
1 | preparing knight g to e2 and in many circumstances d4. Playing e3 does weaken the d3 square, | chuẩn bị hiệp sĩ g đến e2 và trong nhiều trường hợp d4. Chơi e3 sẽ làm suy yếu hình vuông d3, | N/A | 509.6-516.56
1 | allowing the tactical shot d5. This appears to simply blunder upon, but the point is that c takes | cho phép bắn chiến thuật d5. Điều này có vẻ đơn giản là sai lầm, nhưng vấn đề là c lấy | N/A | 516.56-522.88
1 | d5 is well met by knight b4, threatening knight d3 check. One reasonable response for white | d5 gặp hiệp sĩ b4, đe dọa hiệp sĩ d3 kiểm tra. Một phản ứng hợp lý cho màu trắng | N/A | 522.88-530.0799999999999
1 | is to play d3, preventing the unpleasant check on d3, but it does allow knight b takes d5 | là chơi d3, ngăn chặn việc kiểm tra khó chịu trên d3, nhưng nó cho phép hiệp sĩ b lấy d5 | N/A | 530.0799999999999-536.56
1 | with a roughly level game. White may also try to complicate matters by playing d4, | với một trò chơi ở mức độ gần đúng. Trắng cũng có thể cố gắng làm phức tạp vấn đề bằng cách chơi d4, | N/A | 536.56-541.84
1 | provoking the central exchange e takes d4. e takes d4. It's important that black does not play | kích thích trao đổi trung tâm e mất d4. e lấy d4. Điều quan trọng là màu đen không chơi | N/A | 542.56-549.52
1 | bishop takes d4, hoping that white will capture the bishop, allowing the deadly fork knight c2 | Bishop lấy d4, hy vọng quân trắng sẽ bắt được Bishop, cho phép hiệp sĩ ngã ba chết người c2 | N/A | 549.52-555.2
1 | check, winning the queen. Bishop takes d4 may set up a trap, but it's actually black who | kiểm tra, giành được nữ hoàng. Bishop lấy d4 có thể giăng bẫy nhưng thực chất là ai đen | N/A | 555.2-561.04
1 | falls into the trap after queen a4 check, attacking the king in unprotected knight, | rơi vào bẫy sau khi nữ hoàng a4 chiếu, tấn công vua trong hiệp sĩ không được bảo vệ, | N/A | 561.04-566.0
1 | winning a piece. A stronger response is to play bishop e7. White should not be overly focused on | thắng được một phần. Một phản ứng mạnh mẽ hơn là chơi Bishop e7. Màu trắng không nên quá tập trung vào | N/A | 566.0-572.56
1 | trying to protect the extra d5 pawn, as moves like bishop f5 are in the air, preparing unpleasant | cố gắng bảo vệ con tốt d5 bổ sung, khi những bước di chuyển như giám mục f5 đang diễn ra, chuẩn bị khó chịu | N/A | 572.56-578.1600000000001
1 | threats such as knight c2 and knight d3 check. White may continue with knight g to e2, | các mối đe dọa như kiểm tra hiệp sĩ c2 và hiệp sĩ d3. Trắng có thể tiếp tục với hiệp sĩ g đến e2, | N/A | 578.1600000000001-584.3199999999999
1 | allowing black to regain the pawn. This is a perfectly playable option as long as white is | cho phép màu đen lấy lại con tốt. Đây là một lựa chọn hoàn toàn có thể chơi được miễn là màu trắng | N/A | 584.96-589.8399999999999
1 | comfortable playing with an isolated queen's pawn. There is plenty of play in the position, | thoải mái chơi với con tốt của quân hậu bị cô lập. Có rất nhiều khả năng chơi ở vị trí này, | N/A | 589.8399999999999-594.56
1 | but some players prefer to avoid opening the game and clarifying the structure so quickly. | nhưng một số người chơi muốn tránh mở trò chơi và làm rõ cấu trúc quá nhanh. | N/A | 594.56-598.8
